CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
EXPLORATION FOR UNDESCENDED TESTIS (INGUINAL OR SCROTAL AREA)||54550|EXPLORATION FOR TESTIS
EXPLORATION FOR UNDESCENDED TESTIS WITH ABDOMINAL EXPLORATION||54560|EXPLORATION FOR TESTIS
REDUCTION OF TORSION OF TESTIS, SURGICAL, WITH OR WITHOUT FIXATION OF CONTRALATERAL TESTIS||54600|REDUCE TESTIS TORSION
FIXATION OF CONTRALATERAL TESTIS (SEPARATE PROCEDURE)||54620|SUSPENSION OF TESTIS
ORCHIOPEXY, INGUINAL APPROACH, WITH OR WITHOUT HERNIA REPAIR||54640|SUSPENSION OF TESTIS
ORCHIOPEXY, ABDOMINAL APPROACH, FOR INTRA-ABDOMINAL TESTIS (EG, FOWLER-STEPHENS)||54650|ORCHIOPEXY (FOWLER-STEPHENS)
INSERTION OF TESTICULAR PROSTHESIS (SEPARATE PROCEDURE)||54660|REVISION OF TESTIS
SUTURE OR REPAIR OF TESTICULAR INJURY||54670|REPAIR TESTIS INJURY
TRANSPLANTATION OF TESTIS(ES) TO THIGH (BECAUSE OF SCROTAL DESTRUCTION)||54680|RELOCATION OF TESTIS(ES)
LAPAROSCOPY, SURGICAL; ORCHIECTOMY||54690|LAPAROSCOPY, ORCHIECTOMY
LAPAROSCOPY, SURGICAL; ORCHIOPEXY FOR INTRA-ABDOMINAL TESTIS||54692|LAPAROSCOPY, ORCHIOPEXY
UNLISTED LAPAROSCOPY PROCEDURE, TESTIS||54699|LAPAROSCOPE PROC, TESTIS
INCISION AND DRAINAGE OF EPIDIDYMIS, TESTIS AND/OR SCROTAL SPACE (EG, ABSCESS OR HEMATOMA)||54700|DRAINAGE OF SCROTUM
BIOPSY OF EPIDIDYMIS, NEEDLE||54800|BIOPSY OF EPIDIDYMIS
EXPLORATION OF EPIDIDYMIS, WITH OR WITHOUT BIOPSY||54820|EXPLORATION OF EPIDIDYMIS
EXCISION OF LOCAL LESION OF EPIDIDYMIS||54830|REMOVE EPIDIDYMIS LESION
EXCISION OF SPERMATOCELE, WITH OR WITHOUT EPIDIDYMECTOMY||54840|REMOVE EPIDIDYMIS LESION
EPIDIDYMECTOMY; UNILATERAL||54860|REMOVAL OF EPIDIDYMIS
EPIDIDYMECTOMY; BILATERAL||54861|REMOVAL OF EPIDIDYMIS
EPIDIDYMOVASOSTOMY, ANASTOMOSIS OF EPIDIDYMIS TO VAS DEFERENS; UNILATERAL||54900|FUSION OF SPERMATIC DUCTS
EPIDIDYMOVASOSTOMY, ANASTOMOSIS OF EPIDIDYMIS TO VAS DEFERENS; BILATERAL||54901|FUSION OF SPERMATIC DUCTS
PUNCTURE ASPIRATION OF HYDROCELE, TUNICA VAGINALIS, WITH OR WITHOUT INJECTION OF MEDICATION||55000|DRAINAGE OF HYDROCELE
EXCISION OF HYDROCELE; UNILATERAL||55040|REMOVAL OF HYDROCELE
EXCISION OF HYDROCELE; BILATERAL||55041|REMOVAL OF HYDROCELES
REPAIR OF TUNICA VAGINALIS HYDROCELE (BOTTLE TYPE)||55060|REPAIR OF HYDROCELE
DRAINAGE OF SCROTAL WALL ABSCESS||55100|DRAINAGE OF SCROTUM ABSCESS
SCROTAL EXPLORATION||55110|EXPLORE SCROTUM
REMOVAL OF FOREIGN BODY IN SCROTUM||55120|REMOVAL OF SCROTUM LESION
RESECTION OF SCROTUM||55150|REMOVAL OF SCROTUM
SCROTOPLASTY; SIMPLE||55175|REVISION OF SCROTUM
SCROTOPLASTY; COMPLICATED||55180|REVISION OF SCROTUM
VASOTOMY, CANNULIZATION WITH OR WITHOUT INCISION OF VAS, UNILATERAL OR BILATERAL (SEPARATE PROCEDURE)||55200|INCISION OF SPERM DUCT
VASECTOMY, UNILATERAL OR BILATERAL (SEPARATE PROCEDURE), INCLUDING POSTOPERATIVE SEMEN EXAM(S)||55250|REMOVAL OF SPERM DUCT(S)
VASOTOMY FOR VASOGRAMS, SEMINAL VESICULOGRAMS, OR EPIDIDYMOGRAMS, UNILATERAL OR BILATERAL||55300|PREPARE, SPERM DUCT X-RAY
VASOVASOSTOMY, VASOVASORRHAPHY||55400|REPAIR OF SPERM DUCT
LIGATION (PERCUTANEOUS) OF VAS DEFERENS, UNILATERAL OR BILATERAL (SEPARATE PROCEDURE)||55450|LIGATION OF SPERM DUCT
EXCISION OF HYDROCELE OF SPERMATIC CORD, UNILATERAL (SEPARATE PROCEDURE)||55500|REMOVAL OF HYDROCELE
EXCISION OF LESION OF SPERMATIC CORD (SEPARATE PROCEDURE)||55520|REMOVAL OF SPERM CORD LESION
EXCISION OF VARICOCELE OR LIGATION OF SPERMATIC VEINS FOR VARICOCELE; (SEPARATE PROCEDURE)||55530|REVISE SPERMATIC CORD VEINS
EXCISION OF VARICOCELE OR LIGATION OF SPERMATIC VEINS FOR VARICOCELE; ABDOMINAL APPROACH||55535|REVISE SPERMATIC CORD VEINS
EXCISION OF VARICOCELE OR LIGATION OF SPERMATIC VEINS FOR VARICOCELE; WITH HERNIA REPAIR||55540|REVISE HERNIA & SPERM VEINS
LAPAROSCOPY, SURGICAL, WITH LIGATION OF SPERMATIC VEINS FOR VARICOCELE||55550|LAPARO LIGATE SPERMATIC VEIN
UNLISTED LAPAROSCOPY PROCEDURE, SPERMATIC CORD||55559|LAPARO PROC, SPERMATIC CORD
VESICULOTOMY;||55600|INCISE SPERM DUCT POUCH
VESICULOTOMY; COMPLICATED||55605|INCISE SPERM DUCT POUCH
VESICULECTOMY, ANY APPROACH||55650|REMOVE SPERM DUCT POUCH
EXCISION OF MULLERIAN DUCT CYST||55680|REMOVE SPERM POUCH LESION
BIOPSY, PROSTATE; NEEDLE OR PUNCH, SINGLE OR MULTIPLE, ANY APPROACH||55700|BIOPSY OF PROSTATE
BIOPSY, PROSTATE; INCISIONAL, ANY APPROACH||55705|BIOPSY OF PROSTATE
PROSTATOTOMY, EXTERNAL DRAINAGE OF PROSTATIC ABSCESS, ANY APPROACH; SIMPLE||55720|DRAINAGE OF PROSTATE ABSCESS
PROSTATOTOMY, EXTERNAL DRAINAGE OF PROSTATIC ABSCESS, ANY APPROACH; COMPLICATED||55725|DRAINAGE OF PROSTATE ABSCESS
PROSTATECTOMY, PERINEAL, SUBTOTAL (INCLUDING CONTROL OF POSTOPERATIVE BLEEDING, VASECTOMY, MEATOTOMY, URETHRAL CALIBRATION AND/OR DILATION, AND|IN|55801|REMOVAL OF PROSTATE
PROSTATECTOMY, PERINEAL RADICAL;||55810|EXTENSIVE PROSTATE SURGERY
PROSTATECTOMY, PERINEAL RADICAL; WITH LYMPH NODE BIOPSY(S) (LIMITED PELVIC LYMPHADENECTOMY)||55812|EXTENSIVE PROSTATE SURGERY
PROSTATECTOMY, PERINEAL RADICAL; WITH BILATERAL PELVIC LYMPHADENECTOMY, INCLUDING EXTERNAL ILIAC, HYPOGASTRIC AND OBTURATOR NODES||55815|EXTENSIVE PROSTATE SURGERY
PROSTATECTOMY (INCLUDING CONTROL OF POSTOPERATIVE BLEEDING, VASECTOMY, MEATOTOMY, URETHRAL CALIBRATION AND/OR DILATION, AND INTERNAL URETHROTOM|Y);|55821|REMOVAL OF PROSTATE
PROSTATECTOMY (INCLUDING CONTROL OF POSTOPERATIVE BLEEDING, VASECTOMY, MEATOTOMY, URETHRAL CALIBRATION AND/OR DILATION, AND INTERNAL URETHROTOM|Y);|55831|REMOVAL OF PROSTATE
PROSTATECTOMY, RETROPUBIC RADICAL, WITH OR WITHOUT NERVE SPARING;||55840|EXTENSIVE PROSTATE SURGERY
PROSTATECTOMY, RETROPUBIC RADICAL, WITH OR WITHOUT NERVE SPARING; WITH LYMPH NODE BIOPSY(S) (LIMITED PELVIC LYMPHADENECTOMY)||55842|EXTENSIVE PROSTATE SURGERY
PROSTATECTOMY, RETROPUBIC RADICAL, WITH OR WITHOUT NERVE SPARING; WITH BILATERAL PELVIC LYMPHADENECTOMY, INCLUDING EXTERNAL ILIAC, HYPOGASTRIC|AND|55845|EXTENSIVE PROSTATE SURGERY
TRANSPERINEAL PLACEMENT OF NEEDLES OR CATHETERS INTO PROSTATE FOR INTERSTITIAL RADIOELEMENT APPLICATION, WITH OR WITHOUT CYSTOSCOPY||55859|PERCUT/NEEDLE INSERT, PROS
EXPOSURE OF PROSTATE, ANY APPROACH, FOR INSERTION OF RADIOACTIVE SUBSTANCE;||55860|SURGICAL EXPOSURE, PROSTATE
EXPOSURE OF PROSTATE, ANY APPROACH, FOR INSERTION OF RADIOACTIVE SUBSTANCE; WITH LYMPH NODE BIOPSY(S) (LIMITED PELVIC LYMPHADENECTOMY)||55862|EXTENSIVE PROSTATE SURGERY
EXPOSURE OF PROSTATE, ANY APPROACH, FOR INSERTION OF RADIOACTIVE SUBSTANCE; WITH BILATERAL PELVIC LYMPHADENECTOMY, INCLUDING EXTERNAL ILIAC, HY|POG|55865|EXTENSIVE PROSTATE SURGERY
LAPAROSCOPY, SURGICAL PROSTATECTOMY, RETROPUBIC RADICAL, INCLUDING NERVE SPARING||55866|LAPARO RADICAL PROSTATECTOMY
ELECTROEJACULATION||55870|ELECTROEJACULATION
CRYOSURGICAL ABLATION OF THE PROSTATE (INCLUDES ULTRASONIC GUIDANCE FOR INTERSTITIAL CRYOSURGICAL PROBE PLACEMENT)||55873|CRYOSURGICAL ABLATION,PROSTATE
UNLISTED PROCEDURE, MALE GENITAL SYSTEM||55899|GENITAL SURGERY PROCEDURE
INTERSEX SURGERY; MALE TO FEMALE||55970|SEX TRANSFORMATION, M TO F
INTERSEX SURGERY; FEMALE TO MALE||55980|SEX TRANSFORMATION, F TO M
INCISION AND DRAINAGE OF VULVA OR PERINEAL ABSCESS||56405|I & D OF VULVA/PERINEUM
INCISION AND DRAINAGE OF BARTHOLIN'S GLAND ABSCESS||56420|DRAINAGE OF GLAND ABSCESS
MARSUPIALIZATION OF BARTHOLIN'S GLAND CYST||56440|SURGERY FOR VULVA LESION
LYSIS OF LABIAL ADHESIONS||56441|LYSIS OF LABIAL LESION(S)
DESTRUCTION OF LESION(S), VULVA; SIMPLE (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY)||56501|DESTROY, VULVA LESIONS, SIMP
DESTRUCTION OF LESION(S), VULVA; EXTENSIVE (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY)||56515|DESTROY VULVA LESION/S COMPL
BIOPSY OF VULVA OR PERINEUM (SEPARATE PROCEDURE); ONE LESION||56605|BIOPSY OF VULVA/PERINEUM
BIOPSY OF VULVA OR PERINEUM (SEPARATE PROCEDURE); EACH SEPARATE ADDITIONAL LESION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||56606|BIOPSY OF VULVA/PERINEUM
VULVECTOMY SIMPLE; PARTIAL||56620|PARTIAL REMOVAL OF VULVA
VULVECTOMY SIMPLE; COMPLETE||56625|COMPLETE REMOVAL OF VULVA
VULVECTOMY, RADICAL, PARTIAL;||56630|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, PARTIAL; WITH UNILATERAL INGUINOFEMORAL LYMPHADENECTOMY||56631|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, PARTIAL; WITH BILATERAL INGUINOFEMORAL LYMPHADENECTOMY||56632|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, COMPLETE;||56633|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, COMPLETE; WITH UNILATERAL INGUINOFEMORAL LYMPHADENECTOMY||56634|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, COMPLETE; WITH BILATERAL INGUINOFEMORAL LYMPHADENECTOMY||56637|EXTENSIVE VULVA SURGERY
VULVECTOMY, RADICAL, COMPLETE, WITH INGUINOFEMORAL, ILIAC, AND PELVIC LYMPHADENECTOMY||56640|EXTENSIVE VULVA SURGERY
PARTIAL HYMENECTOMY OR REVISION OF HYMENAL RING||56700|PARTIAL REMOVAL OF HYMEN
HYMENOTOMY, SIMPLE INCISION||56720|INCISION OF HYMEN
EXCISION OF BARTHOLIN'S GLAND OR CYST||56740|REMOVE VAGINA GLAND LESION
PLASTIC REPAIR OF INTROITUS||56800|REPAIR OF VAGINA
CLITOROPLASTY FOR INTERSEX STATE||56805|REPAIR CLITORIS
PERINEOPLASTY, REPAIR OF PERINEUM, NON-OBSTETRICAL (SEPARATE PROCEDURE)||56810|REPAIR OF PERINEUM
COLPOSCOPY OF THE VULVA||56820|COLPOSCOPY; VULVA
COLPOSCOPY OF THE VULVA; WITH BIOPSY(S)||56821|COLPOSCOPY, THE VULVA; W BX(
COLPOTOMY; WITH EXPLORATION||57000|EXPLORATION OF VAGINA
COLPOTOMY; WITH DRAINAGE OF PELVIC ABSCESS||57010|DRAINAGE OF PELVIC ABSCESS
COLPOCENTESIS (SEPARATE PROCEDURE)||57020|DRAINAGE OF PELVIC FLUID
INCISION AND DRAINAGE OF VAGINAL HEMATOMA; OBSTETRICAL/POSTPARTUM||57022|I & D VAGINAL HEMATOMA, PP
INCISION AND DRAINAGE OF VAGINAL HEMATOMA; NON-OBSTETRICAL (EG, POST-TRAUMA, SPONTANEOUS BLEEDING)||57023|I & D VAG HEMATOMA, NON-OB
DESTRUCTION OF VAGINAL LESION(S); SIMPLE (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY)||57061|DESTROY VAG LESIONS, SIMPLE
DESTRUCTION OF VAGINAL LESION(S); EXTENSIVE (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY)||57065|DESTROY VAG LESIONS, COMPLEX
BIOPSY OF VAGINAL MUCOSA; SIMPLE (SEPARATE PROCEDURE)||57100|BIOPSY OF VAGINA
BIOPSY OF VAGINAL MUCOSA; EXTENSIVE, REQUIRING SUTURE (INCLUDING CYSTS)||57105|BIOPSY OF VAGINA
VAGINECTOMY, PARTIAL REMOVAL OF VAGINAL WALL||57106|REMOVE VAGINA WALL, PARTIAL
VAGINECTOMY, PARTIAL REMOVAL OF VAGINAL WALL; WITH REMOVAL OF PARAVAGINAL TISSUE (RADICAL VAGINECTOMY)||57107|REMOVE VAGINA TISSUE, PART
VAGINECTOMY, PARTIAL REMOVAL OF VAGINAL WALL; WITH REMOVAL OF PARAVAGINAL TISSUE (RADICAL VAGINECTOMY) WITH BILATERAL TOTAL PELVIC LYMPHADENECT|OMY|57109|VAGINECTOMY PARTIAL W/NODES
VAGINECTOMY, COMPLETE REMOVAL OF VAGINAL WALL||57110|REMOVE VAGINA WALL, COMPLETE
VAGINECTOMY, COMPLETE REMOVAL OF VAGINAL WALL; WITH REMOVAL OF PARAVAGINAL TISSUE (RADICAL VAGINECTOMY)||57111|REMOVE VAGINA TISSUE, COMPL
VAGINECTOMY, COMPLETE REMOVAL OF VAGINAL WALL; WITH REMOVAL OF PARAVAGINAL TISSUE (RADICAL VAGINECTOMY) WITH BILATERAL TOTAL PELVIC LYMPHADENEC|TOM|57112|VAGINECTOMY W/NODES, COMPL
COLPOCLEISIS (LE FORT TYPE)||57120|CLOSURE OF VAGINA
EXCISION OF VAGINAL SEPTUM||57130|REMOVE VAGINA LESION
EXCISION OF VAGINAL CYST OR TUMOR||57135|REMOVE VAGINA LESION
IRRIGATION OF VAGINA AND/OR APPLICATION OF MEDICAMENT FOR TREATMENT OF BACTERIAL, PARASITIC, OR FUNGOID DISEASE||57150|TREAT VAGINA INFECTION
INSERTION OF UTERINE TANDEMS AND/OR VAGINAL OVOIDS FOR CLINICAL BRACHYTHERAPY||57155|INSERT UTERI TANDEMS/OVOIDS
FITTING AND INSERTION OF PESSARY OR OTHER INTRAVAGINAL SUPPORT DEVICE||57160|INSERT PESSARY/OTHER DEVICE
DIAPHRAGM OR CERVICAL CAP FITTING WITH INSTRUCTIONS||57170|FITTING OF DIAPHRAGM/CAP
INTRODUCTION OF ANY HEMOSTATIC AGENT OR PACK FOR SPONTANEOUS OR TRAUMATIC NONOBSTETRICAL VAGINAL HEMORRHAGE (SEPARATE PROCEDURE)||57180|TREAT VAGINAL BLEEDING
COLPORRHAPHY, SUTURE OF INJURY OF VAGINA (NONOBSTETRICAL)||57200|REPAIR OF VAGINA
COLPOPERINEORRHAPHY, SUTURE OF INJURY OF VAGINA AND/OR PERINEUM (NONOBSTETRICAL)||57210|REPAIR VAGINA/PERINEUM
PLASTIC OPERATION ON URETHRAL SPHINCTER, VAGINAL APPROACH (EG, KELLY URETHRAL PLICATION)||57220|REVISION OF URETHRA
PLASTIC REPAIR OF URETHROCELE||57230|REPAIR OF URETHRAL LESION
ANTERIOR COLPORRHAPHY, REPAIR OF CYSTOCELE WITH OR WITHOUT REPAIR OF URETHROCELE||57240|REPAIR BLADDER & VAGINA
POSTERIOR COLPORRHAPHY, REPAIR OF RECTOCELE WITH OR WITHOUT PERINEORRHAPHY||57250|REPAIR RECTUM & VAGINA
COMBINED ANTEROPOSTERIOR COLPORRHAPHY;||57260|REPAIR OF VAGINA
COMBINED ANTEROPOSTERIOR COLPORRHAPHY; WITH ENTEROCELE REPAIR||57265|EXTENSIVE REPAIR OF VAGINA
REPAIR OF ENTEROCELE, VAGINAL APPROACH (SEPARATE PROCEDURE)||57268|REPAIR OF BOWEL BULGE
REPAIR OF ENTEROCELE, ABDOMINAL APPROACH (SEPARATE PROCEDURE)||57270|REPAIR OF BOWEL POUCH
COLPOPEXY, ABDOMINAL APPROACH||57280|SUSPENSION OF VAGINA
SACROSPINOUS LIGAMENT FIXATION FOR PROLAPSE OF VAGINA||57282|REPAIR OF VAGINAL PROLAPSE
PARAVAGINAL DEFECT REPAIR (INCLUDING REPAIR OF CYSTOCELE, STRESS URINARY INCONTINENCE, AND/OR INCOMPLETE VAGINAL PROLAPSE)||57284|REPAIR PARAVAGINAL DEFECT
REMOVAL OR REVISION OF SLING FOR STRESS INCONTINENCE (EG, FASCIA OR SYNTHETIC)||57287|REMV/REVIS,SLING,STRESS INCONT
SLING OPERATION FOR STRESS INCONTINENCE (EG, FASCIA OR SYNTHETIC)||57288|REPAIR BLADDER DEFECT
PEREYRA PROCEDURE, INCLUDING ANTERIOR COLPORRHAPHY||57289|REPAIR BLADDER & VAGINA
CONSTRUCTION OF ARTIFICIAL VAGINA; WITHOUT GRAFT||57291|CONSTRUCTION OF VAGINA
CONSTRUCTION OF ARTIFICIAL VAGINA; WITH GRAFT||57292|CONSTRUCT VAGINA WITH GRAFT
CLOSURE OF RECTOVAGINAL FISTULA; VAGINAL OR TRANSANAL APPROACH||57300|REPAIR RECTUM-VAGINA FISTULA
CLOSURE OF RECTOVAGINAL FISTULA; ABDOMINAL APPROACH||57305|REPAIR RECTUM-VAGINA FISTULA
CLOSURE OF RECTOVAGINAL FISTULA; ABDOMINAL APPROACH, WITH CONCOMITANT COLOSTOMY||57307|FISTULA REPAIR & COLOSTOMY
CLOSURE OF RECTOVAGINAL FISTULA; TRANSPERINEAL APPROACH, WITH PERINEAL BODY RECONSTRUCTION, WITH OR WITHOUT LEVATOR PLICATION||57308|FISTULA REPAIR, TRANSPERINE
CLOSURE OF URETHROVAGINAL FISTULA;||57310|REPAIR URETHROVAGINAL LESION
CLOSURE OF URETHROVAGINAL FISTULA; WITH BULBOCAVERNOSUS TRANSPLANT||57311|REPAIR URETHROVAGINAL LESION
CLOSURE OF VESICOVAGINAL FISTULA; VAGINAL APPROACH||57320|REPAIR BLADDER-VAGINA LESION
CLOSURE OF VESICOVAGINAL FISTULA; TRANSVESICAL AND VAGINAL APPROACH||57330|REPAIR BLADDER-VAGINA LESION
VAGINOPLASTY FOR INTERSEX STATE||57335|REPAIR VAGINA
DILATION OF VAGINA UNDER ANESTHESIA||57400|DILATION OF VAGINA
PELVIC EXAMINATION UNDER ANESTHESIA||57410|PELVIC EXAMINATION
REMOVAL OF IMPACTED VAGINAL FOREIGN BODY (SEPARATE PROCEDURE) UNDER ANESTHESIA||57415|REMOVE VAGINAL FOREIGN BODY
COLPOSCOPY OF THE ENTIRE VAGINA, WITH CERVIX IF PRESENT;||57420|COLPOSCOPY, VAGINA W/CERVIX
COLPOSCOPY OF THE ENTIRE VAGINA, WITH CERVIX IF PRESENT; WITH BIOPSY(S)||57421|COLPOSCOPY, VAG W/CER W/BX(S
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA;||57452|COLPSPY CRVX UP/AJCNT VAGINA
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH BIOPSY(S) OF THE CERVIX AND ENDOCERVICAL CURETTAGE||57454|CLPSPY CRVX UP/AJCT VAG W/BIPY
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH BIOPSY(S) OF THE CERVIX||57455|COLPOSCOPY, CERVIX W/BX(S)
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH ENDOCERVICAL CURETTAGE||57456|COLPOSCOPY, CER W ENDOCERV
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH LOOP ELECTRODE BIOPSY(S) OF THE CERVIX||57460|CLPSPY CRVX UP/AJCT VAG W/LOOP
COLPOSCOPY OF THE CERVIX INCLUDING UPPER/ADJACENT VAGINA; WITH LOOP ELECTRODE CONIZATION OF THE CERVIX||57461|COLPOSCOPY, CER W COZ OF CER
BIOPSY, SINGLE OR MULTIPLE, OR LOCAL EXCISION OF LESION, WITH OR WITHOUT FULGURATION (SEPARATE PROCEDURE)||57500|BIOPSY OF CERVIX
ENDOCERVICAL CURETTAGE (NOT DONE AS PART OF A DILATION AND CURETTAGE)||57505|ENDOCERVICAL CURETTAGE
CAUTERY OF CERVIX; ELECTRO OR THERMAL||57510|CAUTERIZATION OF CERVIX
CAUTERY OF CERVIX; CRYOCAUTERY, INITIAL OR REPEAT||57511|CRYOCAUTERY OF CERVIX
CAUTERY OF CERVIX; LASER ABLATION||57513|LASER SURGERY OF CERVIX
CONIZATION OF CERVIX, WITH OR WITHOUT FULGURATION, WITH OR WITHOUT DILATION AND CURETTAGE, WITH OR WITHOUT REPAIR; COLD KNIFE OR LASER||57520|CONIZATION OF CERVIX
CONIZATION OF CERVIX, WITH OR WITHOUT FULGURATION, WITH OR WITHOUT DILATION AND CURETTAGE, WITH OR WITHOUT REPAIR; LOOP ELECTRODE EXCISION||57522|CONIZATION OF CERVIX
TRACHELECTOMY (CERVICECTOMY), AMPUTATION OF CERVIX (SEPARATE PROCEDURE)||57530|REMOVAL OF CERVIX
RADICAL TRACHELECTOMY, WITH BILATERAL TOTAL PELVIC LYMPHADENECTOMY AND PARA-AORTIC LYMPH NODE SAMPLING BIOPSY, WITH OR WITHOUT REMOVAL OF TUBE(|"S),"|57531|REMOVAL OF CERVIX, RADICAL
EXCISION OF CERVICAL STUMP, ABDOMINAL APPROACH;||57540|REMOVAL OF RESIDUAL CERVIX
EXCISION OF CERVICAL STUMP, ABDOMINAL APPROACH; WITH PELVIC FLOOR REPAIR||57545|REMOVE CERVIX/REPAIR PELVIS
EXCISION OF CERVICAL STUMP, VAGINAL APPROACH;||57550|REMOVAL OF RESIDUAL CERVIX
EXCISION OF CERVICAL STUMP, VAGINAL APPROACH; WITH ANTERIOR AND/OR POSTERIOR REPAIR||57555|REMOVE CERVIX/REPAIR VAGINA
EXCISION OF CERVICAL STUMP, VAGINAL APPROACH; WITH REPAIR OF ENTEROCELE||57556|REMOVE CERVIX, REPAIR BOWEL
CERCLAGE OF UTERINE CERVIX, NONOBSTETRICAL||57700|REVISION OF CERVIX
TRACHELORRHAPHY, PLASTIC REPAIR OF UTERINE CERVIX, VAGINAL APPROACH||57720|REVISION OF CERVIX
DILATION OF CERVICAL CANAL, INSTRUMENTAL (SEPARATE PROCEDURE)||57800|DILATION OF CERVICAL CANAL
DILATION AND CURETTAGE OF CERVICAL STUMP||57820|D & C OF RESIDUAL CERVIX
ENDOMETRIAL SAMPLING (BIOPSY) WITH OR WITHOUT ENDOCERVICAL SAMPLING (BIOPSY), WITHOUT CERVICAL DILATION, ANY METHOD (SEPARATE PROCEDURE)||58100|BIOPSY OF UTERUS LINING
DILATION AND CURETTAGE, DIAGNOSTIC AND/OR THERAPEUTIC (NONOBSTETRICAL)||58120|DILATION AND CURETTAGE
MYOMECTOMY, EXCISION OF FIBROID TUMOR(S) OF UTERUS, 1 TO 4 INTRAMURAL MYOMA(S) WITH TOTAL WEIGHT OF 250 GRAMS OR LESS AND/OR REMOVAL OF SURFACE|MY|58140|MYOMECTOMY ABDOMINAL APPROACH
MYOMECTOMY, EXCISION OF FIBROID TUMOR(S) OF UTERUS, 1 TO 4 INTRAMURAL MYOMA(S) WITH TOTAL WEIGHT OF 250 GRAMS OR LESS AND/OR REMOVAL OF SURFACE|MY|58145|MYOMECTOMY VAGINAL APPROACH
MYOMECTOMY, EXCISION OF FIBROID TUMOR(S) OF UTERUS, 5 OR MORE INTRAMURAL MYOMAS AND/OR INTRAMURAL MYOMAS WITH TOTAL WEIGHT GREATER THAN 250 GRA|"MS,"|58146|MYOMECTOMY ABDOM COMPLEX
TOTAL ABDOMINAL HYSTERECTOMY (CORPUS AND CERVIX), WITH OR WITHOUT REMOVAL OF TUBE(S), WITH OR WITHOUT REMOVAL OF OVARY(S);||58150|TOTAL HYSTERECTOMY
TOTAL ABDOMINAL HYSTERECTOMY (CORPUS AND CERVIX), WITH OR WITHOUT REMOVAL OF TUBE(S), WITH OR WITHOUT REMOVAL OF OVARY(S); WITH COLPO-URETHROCY|STO|58152|TOTAL HYSTERECTOMY
SUPRACERVICAL ABDOMINAL HYSTERECTOMY (SUBTOTAL HYSTERECTOMY), WITH OR WITHOUT REMOVAL OF TUBE(S), WITH OR WITHOUT REMOVAL OF OVARY(S)||58180|PARTIAL HYSTERECTOMY
TOTAL ABDOMINAL HYSTERECTOMY, INCLUDING PARTIAL VAGINECTOMY, WITH PARA-AORTIC AND PELVIC LYMPH NODE SAMPLING, WITH OR WITHOUT REMOVAL OF TUBE(S|"),"|58200|EXTENSIVE HYSTERECTOMY
RADICAL ABDOMINAL HYSTERECTOMY, WITH BILATERAL TOTAL PELVIC LYMPHADENECTOMY AND PARA-AORTIC LYMPH NODE SAMPLING (BIOPSY), WITH OR WITHOUT REMOV|AL|58210|EXTENSIVE HYSTERECTOMY
PELVIC EXENTERATION FOR GYNECOLOGIC MALIGNANCY, WITH TOTAL ABDOMINAL HYSTERECTOMY OR CERVICECTOMY, W/WO REMOVAL OF TUBE(S), OVARY(S), WITH REMO|VAL|58240|REMOVAL OF PELVIS CONTENTS
VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS;||58260|VAGINAL HYSTERECT UTRS <250GMS
VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH REMOVAL OF TUBE(S), AND/OR OVARY(S)||58262|VAG HYST UTRS <250GMS RMV TUBE
VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH REMOVAL OF TUBE(S), AND/OR OVARY(S), WITH REPAIR OF ENTEROCELE||58263|VAG HYST W/RPAIR OF ENTEROCELE
VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH COLPO-URETHROCYSTOPEXY (MARSHALL-MARCHETTI-KRANTZ TYPE, PEREYRA TYPE) WITH OR WITHOUT|END|58267|VAG HYST W/COLPO W/WO ENDOSCOP
VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH REPAIR OF ENTEROCELE||58270|VAG HYST W/ REPAIR ENTEROCELE
